Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    AAC0FFE2 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

         84               [NONAME] (forwarded to SHUNIMPL.#40)
         86               [NONAME] (forwarded to SHUNIMPL.#41)
         87               [NONAME] (forwarded to SHUNIMPL.#42)
         91      00218160 [NONAME]
         93               [NONAME] (forwarded to shcore.Win32CreateDirectory)
         94      001B1880 [NONAME]
         95      0006A320 [NONAME]
         96               [NONAME] (forwarded to SHUNIMPL.#43)
         97      0010E8D0 [NONAME]
         99      0005C870 [NONAME]
        101               [NONAME] (forwarded to SHUNIMPL.#1)
        104               [NONAME] (forwarded to SHUNIMPL.#2)
        105               [NONAME] (forwarded to SHUNIMPL.#3)
        106               [NONAME] (forwarded to SHUNIMPL.#4)
        107               [NONAME] (forwarded to SHUNIMPL.#5)
        108               [NONAME] (forwarded to SHUNIMPL.#6)
        109               [NONAME] (forwarded to SHUNIMPL.#7)
        110               [NONAME] (forwarded to SHUNIMPL.#8)
        111               [NONAME] (forwarded to SHUNIMPL.#9)
        112               [NONAME] (forwarded to SHUNIMPL.#10)
        113               [NONAME] (forwarded to SHUNIMPL.#11)
        114               [NONAME] (forwarded to SHUNIMPL.#12)
        115               [NONAME] (forwarded to SHUNIMPL.#13)
        116               [NONAME] (forwarded to SHUNIMPL.#14)
        117               [NONAME] (forwarded to SHUNIMPL.#15)
        118               [NONAME] (forwarded to SHUNIMPL.#16)
        120               [NONAME] (forwarded to SHUNIMPL.#17)
        121               [NONAME] (forwarded to SHUNIMPL.#44)
        122               [NONAME] (forwarded to SHUNIMPL.#45)
        123               [NONAME] (forwarded to SHUNIMPL.#46)
        124               [NONAME] (forwarded to SHUNIMPL.#18)
        126               [NONAME] (forwarded to SHUNIMPL.#47)
        127               [NONAME] (forwarded to SHUNIMPL.#371)
        128      0006E3F0 [NONAME]
        130               [NONAME] (forwarded to SHUNIMPL.#48)
        140               [NONAME] (forwarded to SHUNIMPL.#19)
        141               [NONAME] (forwarded to SHUNIMPL.#20)
        142               [NONAME] (forwarded to SHUNIMPL.#21)
        143               [NONAME] (forwarded to SHUNIMPL.#22)
        144               [NONAME] (forwarded to SHUNIMPL.#23)
        145               [NONAME] (forwarded to shlwapi.PathFindOnPathW)
        146               [NONAME] (forwarded to SHUNIMPL.#49)
        148               [NONAME] (forwarded to SHUNIMPL.#50)
        151               [NONAME] (forwarded to SHUNIMPL.#51)
        156      000A2660 [NONAME]
        158               [NONAME] (forwarded to SHUNIMPL.#389)
        159               [NONAME] (forwarded to shlwapi.PathIsDirectoryW)
        160      00272180 [NONAME]
        161               [NONAME] (forwarded to SHUNIMPL.#214)
        163               [NONAME] (forwarded to SHUNIMPL.#52)
        166               [NONAME] (forwarded to SHUNIMPL.#53)
        172      00229F00 [NONAME]
        175      000BB660 [NONAME]
        177               [NONAME] (forwarded to SHUNIMPL.#54)
        181      000BB210 [NONAME]
        184      0010E8D0 [NONAME]
        185               [NONAME] (forwarded to SHUNIMPL.#390)
        186      00270E60 [NONAME]
        187               [NONAME] (forwarded to SHUNIMPL.#235)
        188      000B17C0 [NONAME]
        194      0010B360 [NONAME]
        197               [NONAME] (forwarded to SHUNIMPL.#55)
        198               [NONAME] (forwarded to SHUNIMPL.#56)
        200      0008C6F0 [NONAME]
        201      0008CDF0 [NONAME]
        202               [NONAME] (forwarded to SHUNIMPL.#57)
        203      00214A30 [NONAME]
        204      00219480 [NONAME]
        205      001D7710 [NONAME]
        206      0008E3C0 [NONAME]
        209      00216840 [NONAME]
        210      00217080 [NONAME]
        211      000DD890 [NONAME]
        212      001D73E0 [NONAME]
        213      001D7850 [NONAME]
        214      001D7970 [NONAME]
        215      002A6970 [NONAME]
        216               [NONAME] (forwarded to SHUNIMPL.#24)
        217               [NONAME] (forwarded to SHUNIMPL.#25)
        218               [NONAME] (forwarded to SHUNIMPL.#26)
        219               [NONAME] (forwarded to SHUNIMPL.#27)
        220               [NONAME] (forwarded to SHUNIMPL.#28)
        221               [NONAME] (forwarded to SHUNIMPL.#29)
        222               [NONAME] (forwarded to SHUNIMPL.#30)
        223               [NONAME] (forwarded to SHUNIMPL.#31)
        224               [NONAME] (forwarded to SHUNIMPL.#32)
        225               [NONAME] (forwarded to SHUNIMPL.#33)
        227               [NONAME] (forwarded to SHUNIMPL.#34)
        230               [NONAME] (forwarded to SHUNIMPL.#372)
        233               [NONAME] (forwarded to SHUNIMPL.#58)
        234               [NONAME] (forwarded to SHUNIMPL.#59)
        235               [NONAME] (forwarded to SHUNIMPL.#212)
        236      00271940 [NONAME]
        237      000BA2E0 [NONAME]
        241      000E82F0 [NONAME]
        242               [NONAME] (forwarded to SHUNIMPL.#373)
        243               [NONAME] (forwarded to SHUNIMPL.#374)
        244      0003AC80 [NONAME]
        246               [NONAME] (forwarded to SHUNIMPL.#375)
        247               [NONAME] (forwarded to SHUNIMPL.#376)
        248               [NONAME] (forwarded to SHUNIMPL.#377)
        249               [NONAME] (forwarded to shlwapi.PathParseIconLocationW)
        250               [NONAME] (forwarded to shlwapi.PathRemoveExtensionW)
        251               [NONAME] (forwarded to shlwapi.PathRemoveArgsW)
        252               [NONAME] (forwarded to api-ms-win-core-url-l1.PathIsURLW)
        253               [NONAME] (forwarded to SHUNIMPL.#378)
        254      00252560 [NONAME]
        257      0010E8D0 [NONAME]
        258      0010BA40 [NONAME]
        259      000BA2E0 [NONAME]
        260      00242390 [NONAME]
        261      002ACFB0 [NONAME]
        262      002AD2F0 [NONAME]
        264      002423C0 [NONAME]
        265      00265C80 [NONAME]
        266      00265EE0 [NONAME]
        270      002AC0F0 [NONAME]
        271      002B7460 [NONAME]
        520               [NONAME] (forwarded to SHUNIMPL.#60)
        521               [NONAME] (forwarded to SHUNIMPL.#61)
        522               [NONAME] (forwarded to SHUNIMPL.#62)
        523               [NONAME] (forwarded to SHUNIMPL.#63)
        525               [NONAME] (forwarded to SHUNIMPL.#234)
        640               [NONAME] (forwarded to SHUNIMPL.#64)
        641               [NONAME] (forwarded to SHUNIMPL.#65)
        643               [NONAME] (forwarded to SHUNIMPL.#66)
        646               [NONAME] (forwarded to SHUNIMPL.#67)
        648               [NONAME] (forwarded to SHUNIMPL.#379)
        650               [NONAME] (forwarded to shlwapi.PathIsSameRootW)
        651      001AE6D0 [NONAME]
        653               [NONAME] (forwarded to SHUNIMPL.#68)
        660      00039330 [NONAME]
        681               [NONAME] (forwarded to SHUNIMPL.#428)
        683      000DBBB0 [NONAME]
        684      000DBBB0 [NONAME]
        690      00256B20 [NONAME]
        691               [NONAME] (forwarded to SHUNIMPL.#216)
        700               [NONAME] (forwarded to SHUNIMPL.#380)
        702      0022EBE0 [NONAME]
        703               [NONAME] (forwarded to SHLWAPI.#269)
        704               [NONAME] (forwarded to SHLWAPI.#270)
        707               [NONAME] (forwarded to SHUNIMPL.#69)
        708               [NONAME] (forwarded to SHUNIMPL.#70)
        711      00214D00 [NONAME]
        712               [NONAME] (forwarded to SHUNIMPL.#71)
        713      00237430 [NONAME]
        714      0010A040 [NONAME]
        715               [NONAME] (forwarded to SHUNIMPL.#191)
        719               [NONAME] (forwarded to SHUNIMPL.#478)
        720               [NONAME] (forwarded to SHUNIMPL.#72)
        721               [NONAME] (forwarded to SHUNIMPL.#73)
        722               [NONAME] (forwarded to SHUNIMPL.#236)
        723      000AE150 [NONAME]
        724               [NONAME] (forwarded to SHUNIMPL.#381)
        725               [NONAME] (forwarded to SHUNIMPL.#74)
        726               [NONAME] (forwarded to SHUNIMPL.#75)
        731               [NONAME] (forwarded to SHUNIMPL.#479)
        732               [NONAME] (forwarded to SHUNIMPL.#480)
        733      000BA290 [NONAME]
        740      00295000 [NONAME]
        744      0024CC60 [NONAME]
        745               [NONAME] (forwarded to SHUNIMPL.#382)
        748      002B43D0 [NONAME]
        749               [NONAME] (forwarded to SHUNIMPL.#76)
        751      00218F50 [NONAME]
        752      00271DA0 [NONAME]
        753      000BC620 [NONAME]
        754      002B4690 [NONAME]
        755      00217460 [NONAME]
        756               [NONAME] (forwarded to SHUNIMPL.#77)
        757      001054A0 [NONAME]
        758      000171A0 [NONAME]
        759      000170F0 [NONAME]
        760      001BF0F0 [NONAME]
        761      0027DAE0 [NONAME]
        762               [NONAME] (forwarded to SHUNIMPL.#383)
        763      0024CC90 [NONAME]
        764      000748D0 [NONAME]
        765      002838F0 [NONAME]
        766               [NONAME] (forwarded to SHUNIMPL.#385)
        767      000DABD0 [NONAME]
        777      0001A630 [NONAME]
        778      000E7780 [NONAME]
        779      00216B80 [NONAME]
        781      0027FF00 [NONAME]
        782      00269220 [NONAME]
        786               [NONAME] (forwarded to SHUNIMPL.#237)
        787      000D8100 [NONAME]
        788      002A1F10 [NONAME]
        789      002A1FB0 [NONAME]
        790      0022A770 [NONAME]
        791      002A1EC0 [NONAME]
        792      000D8220 [NONAME]
        810      002ACFE0 [NONAME]
        811      002ACDE0 [NONAME]
        812      00508620 [NONAME]
        813      005086C0 [NONAME]
        814      001BC210 [NONAME]
        815      001BC180 [NONAME]
        816      001FEC90 [NONAME]
        817      00202200 [NONAME]
        818      001BC200 [NONAME]
        819      001BC370 [NONAME]
        820               [NONAME] (forwarded to SHUNIMPL.#249)
        821               [NONAME] (forwarded to SHUNIMPL.#250)
        822               [NONAME] (forwarded to SHUNIMPL.#251)
        823      000BFDC0 [NONAME]
        824      000BD8B0 [NONAME]
        825      001EBDD0 [NONAME]
        826               [NONAME] (forwarded to SHUNIMPL.#252)
        827               [NONAME] (forwarded to SHUNIMPL.#253)
        828      0022ECC0 [NONAME]
        829      0022F1D0 [NONAME]
        830      001FDED0 [NONAME]
        831      00217CA0 [NONAME]
        832               [NONAME] (forwarded to SHUNIMPL.#387)
        833      00256B40 [NONAME]
        834               [NONAME] (forwarded to SHUNIMPL.#254)
        835               [NONAME] (forwarded to SHUNIMPL.#255)
        836               [NONAME] (forwarded to SHUNIMPL.#256)
        837               [NONAME] (forwarded to SHUNIMPL.#257)
        838               [NONAME] (forwarded to SHUNIMPL.#258)
        839               [NONAME] (forwarded to SHUNIMPL.#259)
        840      00271B50 [NONAME]
        841               [NONAME] (forwarded to SHUNIMPL.#424)
        842               [NONAME] (forwarded to SHUNIMPL.#425)
        843               [NONAME] (forwarded to SHUNIMPL.#386)
        844      00255A90 [NONAME]
        845      001BA810 [NONAME]
        847      001BC060 [NONAME]
        848      00283940 [NONAME]
        849      001BC1C0 [NONAME]
        850      00032D50 [NONAME]
        851      0020ABF0 [NONAME]
        852               [NONAME] (forwarded to SHUNIMPL.#391)
        853      0006CA90 [NONAME]
        854               [NONAME] (forwarded to SHUNIMPL.#260)
        856               [NONAME] (forwarded to SHUNIMPL.#423)
        857               [NONAME] (forwarded to SHUNIMPL.#426)
        858               [NONAME] (forwarded to SHUNIMPL.#392)
        859      002CB4A0 [NONAME]
        860      000182A0 [NONAME]
        861               [NONAME] (forwarded to SHUNIMPL.#261)
        862      00271220 [NONAME]
        863               [NONAME] (forwarded to SHUNIMPL.#262)
        864      0026AB30 [NONAME]
        865      00216C30 [NONAME]
        866      00288E30 [NONAME]
        867               [NONAME] (forwarded to SHUNIMPL.#263)
        868               [NONAME] (forwarded to SHUNIMPL.#264)
        869               [NONAME] (forwarded to SHUNIMPL.#384)
        870      000BC7D0 [NONAME]
        871      001BFCA0 [NONAME]
        872               [NONAME] (forwarded to SHUNIMPL.#265)
        873      000D8160 [NONAME]
        874      001011A0 [NONAME]
        875      00101120 [NONAME]
        876      00263A70 [NONAME]
        877      00263E50 [NONAME]
        878      00263CD0 [NONAME]
        880      002152A0 [NONAME]
        881      002A7DF0 [NONAME]
        882      002A7F50 [NONAME]
        883      00506B00 [NONAME]
        884      00251BF0 [NONAME]
        885      00089DC0 [NONAME]
        886      00218A60 [NONAME]
        887      00288E70 [NONAME]
        888      002B4710 [NONAME]
        889               [NONAME] (forwarded to SHUNIMPL.#474)
        890               [NONAME] (forwarded to SHUNIMPL.#475)
        891      002750A0 [NONAME]
        892               [NONAME] (forwarded to SHUNIMPL.#476)
        893      0004AB00 [NONAME]
        894      001BF0B0 [NONAME]
        895      000A8C30 [NONAME]
        896      001BEFB0 [NONAME]
        897      002BA1F0 [NONAME]
        898      00229F30 [NONAME]
        899      000BCAB0 [NONAME]
        900      000B5D80 [NONAME]
        901      004AB660 [NONAME]
        902               [NONAME] (forwarded to SHUNIMPL.#473)
        903      0010DD80 [NONAME]
        904      00256CF0 [NONAME]
        905      0010E3A0 [NONAME]
        906      000BCD30 [NONAME]
        907      0026A4F0 [NONAME]
        909               [NONAME] (forwarded to SHUNIMPL.#477)
        910      00240E20 [NONAME]
        911      00209790 [NONAME]
        912      0024B2C0 [NONAME]
        913      0024BB30 [NONAME]
        914      001BEF70 [NONAME]
        915      0008BA10 [NONAME]
        916      000202E0 [NONAME]
        922      002B7160 [NONAME]
        923      00025590 [NONAME]
        924      00025350 [NONAME]
        927      002927F0 [NONAME]
        928      002A6090 [NONAME]
        930      00236E50 [NONAME]
        932      001BF1F0 [NONAME]
        933      001BF190 [NONAME]
        938      0027DA00 [NONAME]
        939      0004DB50 [NONAME]
        940      001BF0D0 [NONAME]
        943      004B3440 [NONAME]
        944      0022A900 [NONAME]
        945      00279810 [NONAME]
        946      0022A400 [NONAME]
        970      002175F0 [NONAME]
        971      00229620 [NONAME]
        972      00242760 [NONAME]
       2000      00279B00 [NONAME]
       2001      002C7A00 [NONAME]

  Summary

        A000 .data
        3000 .didat
       46000 .pdata
      148000 .rdata
       14000 .reloc
        9000 .rsrc
      586000 .text
