Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    AAC0FFE2 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        324   85 0006AB80 SHBindToObject
        325   86 00067210 SHBindToParent
        326   87 00287F70 SHBrowseForFolder
        327   88 00287F70 SHBrowseForFolderA
        328   89 002881A0 SHBrowseForFolderW
        147   8A 000CEF00 SHCLSIDFromString
        644   8B 000A2140 SHChangeNotification_Lock
        645   8C 000A67C0 SHChangeNotification_Unlock
        329   8D 000620B0 SHChangeNotify
          4   8E 0005F120 SHChangeNotifyDeregister
          2   8F 00061330 SHChangeNotifyRegister
        330   90 0008CE90 SHChangeNotifyRegisterThread
        331   91 0027DB20 SHChangeNotifySuspendResume
         89   92 000BA990 SHCloneSpecialIDList
        102   93 000A7740 SHCoCreateInstance
        332   94 00288DA0 SHCoCreateInstanceWorker
        333   95 0009DE90 SHCreateAssociationRegistration
        334   96 00290520 SHCreateCategoryEnum
        335   97 000122E0 SHCreateDataObject
        336   98 0004B570 SHCreateDefaultContextMenu
        337   99 000E3110 SHCreateDefaultExtractIcon
        338   9A 0027DF30 SHCreateDefaultPropertiesOp
        165   9B 00217C80 SHCreateDirectory
        339   9C 00217C60 SHCreateDirectoryExA
        340   9D 00024C30 SHCreateDirectoryExW
        341   9E 00292B00 SHCreateDrvExtIcon
        743   9F 00229CC0 SHCreateFileExtractIconW
        342   A0 00067E90 SHCreateItemFromIDList
        343   A1 0005A680 SHCreateItemFromParsingName
        344   A2 00229DD0 SHCreateItemFromRelativeName
        345   A3 00069290 SHCreateItemInKnownFolder
        346   A4 00067140 SHCreateItemWithParent
        347   A5 000257B0 SHCreateLocalServerRunDll
        348   A6 001DDFD0 SHCreateProcessAsUserW
        168   A7 0010B350 SHCreatePropSheetExtArray
        349   A8 0010E420 SHCreateQueryCancelAutoPlayMoniker
        256   A9 000BF3C0 SHCreateShellFolderView
        174   AA 002A26B0 SHCreateShellFolderViewEx
        350   AB 000FF4A0 SHCreateShellItem
        351   AC 001BF110 SHCreateShellItemArray
        352   AD 000242D0 SHCreateShellItemArrayFromDataObject
        353   AE 000BBAC0 SHCreateShellItemArrayFromIDLists
        354   AF 00024980 SHCreateShellItemArrayFromShellItem
         74   B0 001AE360 SHCreateStdEnumFmtEtc
          3   B1 00264D30 SHDefExtractIconA
          6   B2 0004FF60 SHDefExtractIconW
        169   B3 0010B430 SHDestroyPropSheetExtArray
         88   B4 00251A30 SHDoDragDrop
        355   B5 0004D500 SHELL32_AddToBackIconTable
        356   B6 0004CB90 SHELL32_AddToFrontIconTable
        357   B7 0005F480 SHELL32_AreAllItemsAvailable
        358   B8 002A6120 SHELL32_CCommonPlacesFolder_CreateInstance
        359   B9 002A6130 SHELL32_CDBurn_CloseSession
        360   BA 002A6140 SHELL32_CDBurn_DriveSupportedForDataBurn
        361   BB 002A6150 SHELL32_CDBurn_Erase
        362   BC 002A61B0 SHELL32_CDBurn_GetCDInfo
        363   BD 002A61C0 SHELL32_CDBurn_GetLiveFSDiscInfo
        364   BE 000B7110 SHELL32_CDBurn_GetStagingPathOrNormalPath
        365   BF 002A61D0 SHELL32_CDBurn_GetTaskInfo
        366   C0 002A61E0 SHELL32_CDBurn_IsBlankDisc
        367   C1 002A61F0 SHELL32_CDBurn_IsBlankDisc2
        368   C2 002A6250 SHELL32_CDBurn_IsLiveFS
        369   C3 002A6260 SHELL32_CDBurn_OnDeviceChange
        370   C4 002A6270 SHELL32_CDBurn_OnEject
        371   C5 002A62F0 SHELL32_CDBurn_OnMediaChange
        372   C6 002A6300 SHELL32_CDefFolderMenu_Create2
        373   C7 002A6360 SHELL32_CDefFolderMenu_Create2Ex
        374   C8 002A63C0 SHELL32_CDefFolderMenu_MergeMenu
        375   C9 002A63D0 SHELL32_CDrivesContextMenu_Create
        376   CA 002A63E0 SHELL32_CDrivesDropTarget_Create
        377   CB 002A63F0 SHELL32_CDrives_CreateSFVCB
        378   CC 000A8F30 SHELL32_CFSDropTarget_CreateInstance
        379   CD 000D9B00 SHELL32_CFSFolderCallback_Create
        380   CE 000DABD0 SHELL32_CFillPropertiesTask_CreateInstance
        381   CF 002A6450 SHELL32_CLibraryDropTarget_CreateInstance
        382   D0 000DA420 SHELL32_CLocationContextMenu_Create
        383   D1 002A6460 SHELL32_CLocationFolderUI_CreateInstance
        384   D2 002A6470 SHELL32_CMountPoint_DoAutorun
        385   D3 002A6480 SHELL32_CMountPoint_DoAutorunPrompt
        386   D4 002A64B0 SHELL32_CMountPoint_IsAutoRunDriveAndEnabledByPolicy
        387   D5 002A64C0 SHELL32_CMountPoint_ProcessAutoRunFile
        388   D6 002A64D0 SHELL32_CMountPoint_WantAutorunUI
        389   D7 002A64E0 SHELL32_CMountPoint_WantAutorunUIGetReady
        390   D8 002A64F0 SHELL32_CNetFolderUI_CreateInstance
        391   D9 000DF1A0 SHELL32_CPL_CategoryIdArrayFromVariant
